"Year","Area_type","Area_code","Area_description","Maori_descent_code","Maori_descent_description","Census_usually_resident_population_count","Maori_descent_indicator_percent"
2018,"Regional Council","01","Northland Region","1","Maori descent","69225"," 38.7"
2018,"Regional Council","01","Northland Region","2","No Maori descent","104586"," 58.4"
2018,"Regional Council","01","Northland Region","4","Don't know","5268","  2.9"
2018,"Regional Council","01","Northland Region","7","Response unidentifiable","0",".."
2018,"Regional Council","01","Northland Region","9","Not stated","0",".."
2018,"Regional Council","01","Northland Region","Total","Total","179076",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","179076","100.0"
2018,"Regional Council","02","Auckland Region","1","Maori descent","207183"," 13.2"
2018,"Regional Council","02","Auckland Region","2","No Maori descent","1334346"," 84.9"
2018,"Regional Council","02","Auckland Region","4","Don't know","30189","  1.9"
2018,"Regional Council","02","Auckland Region","7","Response unidentifiable","0",".."
2018,"Regional Council","02","Auckland Region","9","Not stated","0",".."
2018,"Regional Council","02","Auckland Region","Total","Total","1571718",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","1571718","100.0"
2018,"Regional Council","03","Waikato Region","1","Maori descent","121701"," 26.6"
2018,"Regional Council","03","Waikato Region","2","No Maori descent","323892"," 70.7"
2018,"Regional Council","03","Waikato Region","4","Don't know","12609","  2.8"
2018,"Regional Council","03","Waikato Region","7","Response unidentifiable","0",".."
2018,"Regional Council","03","Waikato Region","9","Not stated","0",".."
2018,"Regional Council","03","Waikato Region","Total","Total","458202",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","458202","100.0"
2018,"Regional Council","04","Bay of Plenty Region","1","Maori descent","98055"," 31.8"
2018,"Regional Council","04","Bay of Plenty Region","2","No Maori descent","202965"," 65.8"
2018,"Regional Council","04","Bay of Plenty Region","4","Don't know","7479","  2.4"
2018,"Regional Council","04","Bay of Plenty Region","7","Response unidentifiable","0",".."
2018,"Regional Council","04","Bay of Plenty Region","9","Not stated","0",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","308499",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","308499","100.0"
2018,"Regional Council","05","Gisborne Region","1","Maori descent","25956"," 54.6"
2018,"Regional Council","05","Gisborne Region","2","No Maori descent","20391"," 42.9"
2018,"Regional Council","05","Gisborne Region","4","Don't know","1170","  2.5"
2018,"Regional Council","05","Gisborne Region","7","Response unidentifiable","0",".."
2018,"Regional Council","05","Gisborne Region","9","Not stated","0",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","47517",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","47517","100.0"
2018,"Regional Council","06","Hawke's Bay Region","1","Maori descent","48696"," 29.3"
2018,"Regional Council","06","Hawke's Bay Region","2","No Maori descent","112923"," 67.9"
2018,"Regional Council","06","Hawke's Bay Region","4","Don't know","4746","  2.9"
2018,"Regional Council","06","Hawke's Bay Region","7","Response unidentifiable","0",".."
2018,"Regional Council","06","Hawke's Bay Region","9","Not stated","0",".."
2018,"Regional Council","06","Hawke's Bay Region","Total","Total","166368",".."
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","166368","100.0"
2018,"Regional Council","07","Taranaki Region","1","Maori descent","26505"," 22.5"
2018,"Regional Council","07","Taranaki Region","2","No Maori descent","87246"," 74.2"
2018,"Regional Council","07","Taranaki Region","4","Don't know","3810","  3.2"
2018,"Regional Council","07","Taranaki Region","7","Response unidentifiable","0",".."
2018,"Regional Council","07","Taranaki Region","9","Not stated","0",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","117561",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","117561","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","Maori descent","60201"," 25.2"
