"Year","Area_type","Area_code","Area_description","Main_means_of_travel_to_work_code","Main_means_of_travel_to_work_description","Employed_census_usually_resident_population_count_aged_15_years_and_over","Main_means_of_travel_to_work_percent"
2018,"Regional Council","01","Northland Region","001","Work at home","13995"," 17.2"
2018,"Regional Council","01","Northland Region","002","Did not go to work today","..",".."
2018,"Regional Council","01","Northland Region","003","Drive a private car, truck, or van","48567"," 59.6"
2018,"Regional Council","01","Northland Region","004","Drive a company car, truck, or van","10011"," 12.3"
2018,"Regional Council","01","Northland Region","005","Passenger in a car, truck, van, or company bus","3744","  4.6"
2018,"Regional Council","01","Northland Region","006","Public bus","345","  0.4"
2018,"Regional Council","01","Northland Region","007","Train","21","  0.0"
2018,"Regional Council","01","Northland Region","009","Bicycle","492","  0.6"
2018,"Regional Council","01","Northland Region","010","Walk or jog","3255","  4.0"
2018,"Regional Council","01","Northland Region","012","Ferry","78","  0.1"
2018,"Regional Council","01","Northland Region","016","Other","1023","  1.3"
2018,"Regional Council","01","Northland Region","999","Not elsewhere included","0",".."
2018,"Regional Council","01","Northland Region","0Total","Total","81537",".."
2018,"Regional Council","01","Northland Region","0Total stated","Total stated","81537","100.0"
2018,"Regional Council","02","Auckland Region","001","Work at home","72033","  8.7"
2018,"Regional Council","02","Auckland Region","002","Did not go to work today","..",".."
2018,"Regional Council","02","Auckland Region","003","Drive a private car, truck, or van","490824"," 59.5"
2018,"Regional Council","02","Auckland Region","004","Drive a company car, truck, or van","85209"," 10.3"
2018,"Regional Council","02","Auckland Region","005","Passenger in a car, truck, van, or company bus","33549","  4.1"
2018,"Regional Council","02","Auckland Region","006","Public bus","58824","  7.1"
2018,"Regional Council","02","Auckland Region","007","Train","24324","  3.0"
2018,"Regional Council","02","Auckland Region","009","Bicycle","8205","  1.0"
2018,"Regional Council","02","Auckland Region","010","Walk or jog","35640","  4.3"
2018,"Regional Council","02","Auckland Region","012","Ferry","5328","  0.6"
2018,"Regional Council","02","Auckland Region","016","Other","10602","  1.3"
2018,"Regional Council","02","Auckland Region","999","Not elsewhere included","0",".."
2018,"Regional Council","02","Auckland Region","0Total","Total","824535",".."
2018,"Regional Council","02","Auckland Region","0Total stated","Total stated","824535","100.0"
2018,"Regional Council","03","Waikato Region","001","Work at home","34902"," 15.1"
