Year,Area_code,No qualification,Overseas secondary school qualification,Total Education,Maori descent,No Maori descent,Don't know,Work at home,"Drive a private car, truck, or van","Drive a company car, truck, or van","Passenger in a car, truck, van, or company bus",Public bus,Train,Bicycle,Walk or jog,Ferry,Secondary,Some University,Tertiary,Post-tertiary,Any University,Don't know descent,Other Transport
2018,100100,32.6,1.3,100,61.4,36.5,1.9,19.9,54.4,12.9,4.1,0.4,0,0,5.4,0,40.099999999999994,18.3,7.3,1.3,22.700000000000003,1.9,2.1
2018,100200,26.9,2.4,100,62.7,34.2,3.0,19.9,60.2,11.1,4.5,0,0,0,2.8,0.3,43.1,19.2,9.6,1.3,26.7,3,1.4
2018,100300,7.7,7.7,100,6.7,93.3,0.0,NA,40,NA,NA,NA,NA,NA,NA,NA,30.8,15.4,23.1,15.4,53.900000000000006,0,NA
2018,100400,24.2,2.3,100,47,50.6,2.4,18,58.7,15.9,4.2,0.5,0,0,2.1,0,42.2,23.2,9.2,1.3,29.5,2.4,0.5
2018,100500,24.5,1.5,100,62.2,36.2,1.6,22,60.8,12.4,2.2,1.1,0,0,0.5,0,40.2,22.3,12.6,0.7,31.1,1.6,1.1
2018,100600,21.1,3.5,100,63.4,34.6,2.2,11.9,67,11.9,5.7,0.6,0.6,0.6,2.3,0,36.8,23.200000000000003,14.4,3.9000000000000004,36.900000000000006,2.2,0.6
2018,100700,31.8,2.5,100,69,27.8,3.3,14.1,55.6,12,8.8,0.4,0,0.7,8.1,0,41.3,19.2,6.5,1.4,23.799999999999997,3.3,0.4
2018,100800,31.7,2.5,100,66.9,29.8,3.2,10,64.1,9.5,6.9,0,0,0.8,8.4,0,39.9,18.099999999999998,9,1,24.9,3.2,0.5
2018,100900,28.6,2.2,100,52.6,43.6,3.8,17.2,60.5,13.4,4.5,0,0,0.6,2.5,0,40.6,18.8,11.1,1.3,28.500000000000004,3.8,0.6
2018,101000,27.2,2.5,100,43.3,53.2,3.5,20.7,58.7,14.9,4.1,0,0,0,1.7,0,36.7,21.8,11.9,2.5,32.7,3.5,0
2018,101100,23.7,4.7,100,34.1,64,1.9,18.7,58.5,13,4.9,0.4,0,0,3.9,0,36.4,21.700000000000003,14.4,3.5999999999999996,34.1,1.9,0.4
2018,101200,26.9,3.1,100,55.5,41.1,3.4,25.4,53.6,13,5.1,0.7,0,0,1.4,0,41,18.9,11.4,1.7000000000000002,28.500000000000004,3.4,0.7
2018,101300,23.1,3.8,100,44.4,51.5,4.3,24.5,61.6,9.9,1.3,0,0,0,1.3,0.7,43.89999999999999,19.599999999999998,11,2.6999999999999997,29.899999999999995,4.3,0.7
2018,101400,23.1,1.9,100,42.2,54.3,3.8,23.8,53.3,16.4,2.5,0,0,0,0,0.8,43.4,19.7,12.3,2.4,30.2,3.8,1.6
2018,101500,27.8,2.8,100,49.6,48.4,2.4,24.5,54.5,14.5,2.7,0,0,0,0.9,0,39.5,21,10.5,1.7000000000000002,28.800000000000004,2.4,1.8
2018,101600,32.9,1.2,100,87.9,10.2,1.9,25.9,50.6,13.6,2.5,0,0,0,6.2,0,38.300000000000004,19.4,8.299999999999999,1.2,25.400000000000002,1.9,0
2018,101700,27,3.4,100,57.4,38.8,3.7,32.9,44.7,12.9,3.5,0,0,0,3.5,2.4,35.4,20.799999999999997,13,3.4,31.599999999999998,3.7,0
2018,101800,25.9,2.8,100,60,37.7,2.0,25.6,57.4,9.2,3.1,0,0,0,4.1,0,39.7,20.900000000000002,10.3,2.8,29.3,2,1.5
2018,101900,25.8,3,100,51.9,44.6,3.8,21.1,59.4,7.4,6.3,0,0,0.6,1.7,0,42.099999999999994,20.2,9.6,2.2,28.7,3.8,3.4
2018,102000,28.1,1.8,100,66.8,29.5,3.7,29.9,55.1,6.3,3.9,0,0,0.8,2.4,0,37.8,24.1,8.3,1.8,29.8,3.7,3.1
2018,102100,23,2.1,100,65,33.7,1.2,21.3,54.7,10.7,4.7,0,0,0,6,0,35.9,26.200000000000003,12.2,2.8,35.6,1.2,2
2018,102200,14.9,5.4,100,19.1,78.2,2.8,19.5,59,15.4,3,0,0,0.5,1.5,0,40.6,23.8,17.9,2.6,38.5,2.8,1.3
2018,102300,22.1,4,100,42.2,54.6,3.2,21.1,57.3,12.2,3.8,0,0,0,3.3,0,41.5,22.4,10.7,2.7,30.799999999999997,3.2,2.3
2018,102400,17,5.6,100,33.1,63.9,3.0,21.7,58.3,13.5,4.3,0,0,0,0.9,0.4,39.300000000000004,22.5,17,4,36.6,3,0.9
2018,102500,19.6,6.2,100,27.6,70,2.4,17.2,55,17.9,5.3,0,0,1.3,2,0,45.900000000000006,21.5,11.399999999999999,1.9,31.499999999999996,2.4,0.7
2018,102600,16.6,6.3,100,19.3,77.1,3.6,24,54.9,14.9,3.2,0,0,0,1.6,0,40.4,24.8,16.1,2.4,37.5,3.6,1
2018,102700,30.2,1.7,100,81.4,16.4,2.2,17.9,61.6,10.7,5.4,0,0,0,3.6,0,38.300000000000004,22.5,7.8,1.7000000000000002,29.8,2.2,2.7
2018,102800,14.9,7.5,100,17.1,81.1,1.8,17.2,59.5,16,3.9,0,0,0.3,1.8,0,39.1,21.299999999999997,20.4,4.3,39,1.8,1.2
2018,102900,25.4,2.4,100,59.8,37.5,2.5,28.2,57.1,8.3,3.8,0,0,0,2.6,0,42.8,18.200000000000003,11.1,3.1,27.500000000000004,2.5,0.6
2018,103000,22.5,8.2,100,25.1,72.2,2.6,13.2,57.1,10.6,3.8,0,0.3,0.3,13.8,0,41.5,20,13,2.7,29.799999999999997,2.6,0.3
2018,103100,14.2,6.9,100,16.6,81.6,2.0,20.1,54.6,16.1,3.5,0,0,1,4,0,37.7,23.700000000000003,20.3,4,41.6,2,0.7
2018,103200,21.6,3.1,100,45.3,51.8,2.9,22.6,58.5,14.4,2.1,0,0,0,1,0,41.300000000000004,20.200000000000003,13.6,2.8,31.7,2.9,1
2018,103300,16.8,5,100,27.6,69.7,2.7,22.4,54.9,13.1,3.4,0,0,0,2.5,0,40.5,23.799999999999997,16.2,2.7,35.1,2.7,3.8
2018,103400,23.4,1.7,100,73,24.7,2.5,15.7,57.1,13.8,9,0,0.5,0,1.4,0,45.300000000000004,21.700000000000003,8.4,0.8999999999999999,28,2.5,2.9
2018,103500,30.5,1.6,100,79.1,18.3,2.6,7.1,64.4,9,8,0.2,0.4,0.4,9.6,0,43.00000000000001,17.8,7.8,1.3,24.1,2.6,0.6
2018,103600,18.2,3.6,100,37.8,59,2.7,22.4,60.3,11.2,3.4,0,0,0,1.7,0,40.5,23,16.3,3,37.5,2.7,1.7
2018,103700,19.4,7,100,29.8,68,2.2,17.4,61.7,10.2,4.2,0,0,0,4.8,1.2,40.699999999999996,22.5,14.399999999999999,2.6999999999999997,35.3,2.2,0
2018,103800,16,6.1,100,22.8,75.6,2.0,24.8,44,8,3.2,0,0,1.6,16,1.6,34.800000000000004,25.5,17.4,6.6,41.5,2,2.4
2018,103900,19,6.8,100,36.9,61.5,1.6,22.9,42.2,8.7,1.8,0.4,0,1.1,19.6,2.2,42.4,23.6,12.2,2.9,32.2,1.6,1.1
2018,104000,25.7,1.8,100,69.8,27.8,2.4,28.4,62.7,3,1.5,0,0,0,1.5,0,44,20.200000000000003,11,1.8,27.5,2.4,4.5
2018,104100,27.2,4.5,100,67.5,30.6,2.2,17.8,64.9,8.7,3.8,0,0,0.5,2.4,0.5,39.8,20.400000000000002,10.7,1.9000000000000001,29.800000000000008,2.2,1.4
2018,104200,18.5,6.5,100,16.3,80.2,3.0,25.5,57.4,7.4,2.1,0,1.1,0,5.3,2.1,34.4,22,19,6,39.9,3,0
2018,104300,13.6,9.1,100,18.7,78.4,2.9,15.3,64.8,12.8,2,0,0,1,3.6,0.5,38.2,25.9,20,2.9,41.7,2.9,1.5
2018,104400,27.3,2.4,100,68.3,29.1,2.6,13.7,61.8,8.8,5.9,0,0,0,3.9,0,44.199999999999996,18.7,9.1,1.2,24.8,2.6,5.9
2018,104500,36.2,1.2,100,90.1,8.5,1.5,7,68.8,7,8.6,0.5,0,1.6,5.9,0,41.9,15.2,6.199999999999999,0.6,19.900000000000002,1.5,1.1
2018,104600,24.8,2.3,100,73.4,23.6,3.1,6.3,66.8,8.8,7.8,0,0,1.5,8.8,0,41.5,20.8,11.2,1.9,30.7,3.1,0.5
2018,104700,25,2.3,100,49.2,48.1,3.1,38.2,42.3,8.1,3.3,0,0,0,3.3,0,40.89999999999999,24.4,9.7,0.6,29.600000000000005,3.1,3.3
2018,104800,23.9,1.8,100,44,52.3,3.6,31.6,48,8.4,4.6,0,0,0.3,2.5,0,43.8,19.6,12,0.9,28.9,3.6,4.6
2018,104900,23.1,2.9,100,39.9,57,3.1,27.6,54.7,10.5,3.1,0.3,0,0,2.6,0,40.3,22,12.2,2.3,31.6,3.1,1.3
2018,105000,NA,NA,100,NA,100,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,105100,15.3,3.5,100,19.2,78.5,2.3,17.7,61.7,15.8,3,0,0,0.4,0.6,0.2,40.7,24.1,17.5,2.5999999999999996,37.599999999999994,2.3,0.7
2018,105200,26.6,2.3,100,52.5,44.2,3.3,10.9,69.2,9.5,6.3,0,0,0.9,1.8,0,43.599999999999994,21.2,7.9,0.8,26.2,3.3,1.4
2018,105300,18.5,3,100,21.8,74.6,3.6,16.6,59.1,19.2,2.3,0,0,0.6,0.6,0.3,36.800000000000004,25.5,16.5,2.8,38.199999999999996,3.6,1.6
2018,105400,17.7,3.9,100,23.9,73.3,2.8,21.7,57.6,14.5,2.6,0.3,0,0.3,1.8,0,38.8,23.4,17.2,3,37.5,2.8,0.9
2018,105500,21.8,3.3,100,29.3,66.5,4.2,9.1,65.2,16.2,4.3,1.5,0,0,1.8,0.3,40.099999999999994,21.799999999999997,14.3,1.7,32.900000000000006,4.2,1.2
2018,105600,12.3,4,100,19.7,77.5,2.5,20.1,55.8,15.3,2.7,0,0.3,0.7,3.7,0,32.900000000000006,24.6,21.2,8.6,46.5,2.5,1.7
2018,105700,15.8,2.9,100,27.5,68,4.5,15.4,63.2,14.3,4.9,0.5,0,0,0.5,0,35.6,25.3,21.1,2.1,42.699999999999996,4.5,0
2018,105800,24.9,4.5,100,46.1,49.5,4.4,8.6,68.6,11.5,7.1,1,0,0.5,1.5,0,41.400000000000006,20.799999999999997,11.1,1.5999999999999999,29.599999999999998,4.4,1
2018,105900,23.6,4.9,100,23.8,74,2.2,10.6,62.6,14.4,5,1.4,0.2,1.1,4.3,0,38.699999999999996,19.700000000000003,15.600000000000001,2.3,32.1,2.2,0.9
2018,106000,21.9,2.2,100,35.7,60.9,3.4,8.2,63.4,16.7,5.4,0.8,0,0.8,3.1,0,40.900000000000006,23.5,12.9,1.2,32.900000000000006,3.4,0.8
2018,106100,22.9,3.9,100,28.9,68.2,2.9,10.5,66,12.6,4.9,0.5,0.2,1.2,3,0,36,22,16.4,2.6,34.9,2.9,0.9
2018,106200,32,3.6,100,46.9,50.2,2.8,8.5,66.9,11,6.5,2.5,0,0.6,2.3,0,39.5,19.3,8.7,0.7,25.599999999999998,2.8,1.7
2018,106300,15.7,4.2,100,15.7,81.6,2.6,15.2,59.9,18.5,3.9,0.3,0,1.1,0.6,0,36.5,22.9,20.5,4.3,42,2.6,0.6
2018,106400,35.1,1.1,100,78.7,18.1,3.3,8.2,68.3,5.8,9.1,1.9,0,0.5,4.3,0,42.800000000000004,17.2,4.1,0.2,19.4,3.3,1.4
2018,106500,26.5,3.8,100,41.6,54.6,3.8,8.1,69.7,12.1,5.1,1.8,0,0.7,1.8,0,41.3,20.6,10.7,0.7999999999999999,27.6,3.8,0.7
2018,106600,22.8,3.7,100,30.5,66.4,3.1,11.4,59.9,9.9,5.1,0.4,0,1.3,10.5,0,36.2,22.1,15.8,3,34.49999999999999,3.1,1.5
2018,106700,13.8,3.5,100,19,78.6,2.3,16.7,59.9,17.5,3.2,0,0,0.4,1.2,0,38.7,24.4,20,3.2,42,2.3,0.4
2018,106800,26.2,3.4,100,30.4,67.3,2.4,11.5,59.8,11.7,6.4,0.8,0,1.7,7,0,35.5,19.5,16.2,2.3,32.9,2.4,1.1
2018,106900,20.8,5.7,100,22.8,74.6,2.6,9.4,60.2,9.8,5.2,1,0,1.4,11.4,0,34.800000000000004,20.5,20.6,3.4000000000000004,38.2,2.6,1.2
2018,107000,22.3,5,100,34.2,63.3,2.4,10.1,60.8,8.8,5.7,0,0,2.3,10.7,0,38.2,20.9,16,2.9,35.3,2.4,1.5
2018,107100,21.5,5.9,100,29.9,67.6,2.2,14.3,51.3,9.1,5.8,1.9,0,1.9,15.6,0,36.7,21.5,16.9,3.8,37.599999999999994,2.2,0.6
2018,107200,15.9,4.2,100,31.8,64.9,3.3,10.3,61.6,13.4,5,0.5,0,2.6,6.1,0,39,25.2,16.3,3.2,38.7,3.3,0.8
2018,107300,24.9,2.8,100,60.1,36.2,3.6,6.8,68,10.8,6.3,2,0,1.6,2.7,0,42.8,22.599999999999998,8.8,1,28.599999999999998,3.6,1.8
2018,107400,29.3,2.2,100,65.3,32.1,2.6,6.3,65.2,8.3,11.1,0.8,0,0.4,6.7,0,43.5,19.5,7,0.7,24.3,2.6,0.4
2018,107500,25.2,3.1,100,45.6,50.9,3.5,8.4,64.1,9.4,7.3,0.3,0,1.3,7.6,0,38.300000000000004,20.8,14.100000000000001,1.7,32.8,3.5,1
2018,107600,18,4.2,100,22.9,76,1.3,14,67.4,10.4,3.6,0,0,0.5,3.1,0,31.7,24.299999999999997,21.5,4.6,42.3,1.3,1
2018,107700,22.9,2.9,100,34.3,61.9,3.6,15.2,61.9,15.6,4.9,0,0,0,0.8,0,39.4,23.8,12,1.5,32.6,3.6,1.2
2018,107800,20.3,2.9,100,21.4,74.9,3.5,22.7,59.9,11.8,2.3,0.2,0,0,1.6,0.2,41.7,23,13.2,1.8,33.3,3.5,1.1
2018,107900,21.7,8.7,100,26.5,70.6,0.0,21.1,57.9,10.5,0,0,0,0,5.3,0,43.400000000000006,21.7,17.4,0,34.8,0,0
2018,108000,15.7,4.1,100,19.3,76.5,4.0,20.5,60.1,13.9,3.5,0,0,0,1,0,39,23.4,18,3.0999999999999996,38.599999999999994,4,1.4
2018,108100,18.8,5.2,100,21.4,75.4,3.0,10.5,67.2,11.3,6.5,0.8,0,0.8,2.4,0,39.2,23.700000000000003,14.9,3.2,36.400000000000006,3,0.4
2018,108200,23.2,3.2,100,34.9,60.8,4.2,6.6,70.2,11,5.5,2.2,0,1.1,2.5,0,40.7,22.3,12.3,1.5,31.6,4.2,1.1
2018,108300,21.3,3.5,100,36.6,60.6,2.7,10.1,67.7,11.7,4.5,2.1,0,1.3,2.1,0,36.6,22.3,16.7,3.5,36.7,2.7,0.8
2018,108400,NA,NA,100,0,100,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018,108500,15.6,5.1,100,17,80.7,2.3,16.4,63.2,13.9,3.8,0,0,0.3,1.5,0,33.5,24.2,21,6,44.2,2.3,1.3
2018,108600,20.4,2.9,100,23.9,71.6,4.5,26.4,56.4,10.3,3.4,0,0.3,0.3,0.9,0,40.300000000000004,21.7,14.8,2.6,34.599999999999994,4.5,1.4
2018,108700,21.1,4.6,100,22.7,75,2.3,16.1,63.4,14.3,3.3,0,0,0.6,1.5,0,37.4,24.7,14.4,2.8,35.9,2.3,0.6
2018,108800,25.9,4.2,100,37.2,59.4,3.5,11.6,69,12.9,2.8,0.3,0,0.5,2.1,0,41.1,19.099999999999998,12.2,1.7,28.3,3.5,0.8
2018,108900,13.4,5.5,100,16.2,80.6,3.2,20.1,61.2,13.2,1.8,0,0,0,0.9,0.5,33.9,23.799999999999997,22.4,5.4,44.49999999999999,3.2,1.4
2018,109000,20.5,4.9,100,16.7,80.1,3.2,22.6,53.8,13.9,2.1,0.5,0,1.4,5,0,36.6,23.4,16.200000000000003,3.6,36.6,3.2,0.9
2018,109100,29.2,2.5,100,34.6,61.4,3.9,31.3,48.6,10.1,4.3,0,0,0.2,2,0.2,41.7,18.8,8.7,1.5,26,3.9,3.3
2018,109200,27.2,2,100,25.3,71.5,3.3,41.7,42.9,7.6,3.6,0,0,0,1.5,0,42.8,19.200000000000003,9.2,1.5,26.3,3.3,2.7
2018,109300,32.7,3.9,100,38.9,58.3,2.8,9.5,59.1,12.5,8.9,0,0,1.1,7.8,0,42.1,17.3,7.1,0.8,21.9,2.8,0.8
2018,109400,32.2,1.6,100,29.8,66.3,3.9,31.3,45.7,9.6,5.2,0.3,0,0.5,3.9,0,39.5,18.6,8.3,1.3,24.3,3.9,3.6
2018,109500,24.3,4.2,100,18.9,77.6,3.5,29.3,50.8,12.8,3,0.4,0,0,2.6,0,44.6,19.8,9.7,1.9,26.699999999999996,3.5,1.9
2018,109600,24.3,3.9,100,26.7,70,3.1,9.7,59.2,16.8,6.1,0,0,0,6.6,0,48.3,17.7,8.2,1.3,23.3,3.1,0.5
2018,109700,24,5,100,28.3,68,3.5,23.6,54.4,14.4,3.3,0.3,0,0,3.1,0,41.400000000000006,19.4,12.5,2.7,30.800000000000004,3.5,0.3
2018,109800,16.4,5,100,14.9,82.9,2.3,25.7,53.6,16.7,2.2,0.3,0,0,0.8,0,39.900000000000006,23.7,16.4,4.1,38.2,2.3,0.5
2018,109900,20.9,4.8,100,14.1,84.4,1.7,22.9,57.6,12.8,2.1,0.3,0,0,2.8,0,36.89999999999999,23.8,16,2.5,35.6,1.7,0.7
2018,110000,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,110100,21.8,3.8,100,17.6,80.8,1.9,19.8,53.4,16,2.3,0.8,0,0.8,5.3,0,36.9,25.1,12.9,2.5,34.199999999999996,1.9,0.8
2018,110200,20.3,3.8,100,22.7,74,3.0,24.4,53,14,3.9,0,0,0,1.4,0,47.89999999999999,19.8,11.100000000000001,1.7,28.5,3,2.9
2018,110300,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,110400,18.6,3.3,100,18.8,77.6,3.6,28.1,51.7,12.7,3.2,0.5,0,0.5,2.1,0,38.199999999999996,22.4,16.3,4.5,37.6,3.6,1.4
2018,110500,28.1,4.4,100,26.6,69.7,3.7,8.1,61.1,16.8,6.4,0.3,0,0.3,6.4,0,44.699999999999996,17.4,8.8,1.1,23.8,3.7,0.3
2018,110600,NA,NA,100,NA,100,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,110700,19.9,3.8,100,20.7,76.8,2.7,23.2,55.1,15.1,3.4,0.9,0,0.2,0.9,0,41.4,21.299999999999997,13.799999999999999,3.5,33.5,2.7,1.3
2018,110800,17.9,5.1,100,21.1,76.6,2.3,19.3,58,15.3,3,1.4,0.3,0.3,1.4,0,42,21.799999999999997,15.3,2.9,35.9,2.3,1.4
2018,110900,15.6,5.5,100,10.6,86.5,2.7,26.2,49.4,14,4.1,0.7,0,0.4,4.1,0,35.9,19.5,23.900000000000002,5.2,42.1,2.7,1.5
2018,111000,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,111100,21.7,5.9,100,11.7,86.3,1.8,11.8,59.9,15.5,5.3,0.5,0,1.1,5.1,0,40.1,21,14.8,2.7,32.699999999999996,1.8,0.5
2018,111200,13.2,5,100,9.8,87.4,2.8,18.3,56.7,16.4,4,2.3,0,0.4,0.7,0.1,38.2,21.3,21.8,5.5,43.2,2.8,1
2018,111300,17.9,6.2,100,12,86.1,2.0,11.8,57.5,15.4,5.8,0.6,0,1,7.5,0,40.7,21.4,16.8,3.4,35.8,2,0.6
2018,111400,11.8,5.1,100,4.6,93.5,1.9,31.2,51.7,12.5,2.8,0.6,0,0,1.1,0,37.1,22.700000000000003,23.5,5.1000000000000005,44.7,1.9,0.6
2018,111500,12.3,4.2,100,10.4,87.9,1.7,27.3,51,16.3,2.1,0.9,0,0.6,2.1,0,40.400000000000006,22.7,19.9,4.7,40.300000000000004,1.7,0.9
2018,111600,14.1,5,100,15.2,82.5,2.3,14.9,59.3,19.9,1.9,3.1,0,0,0.4,0,43.3,23.4,17.3,2,37.2,2.3,0.6
2018,111700,20.5,6.5,100,13.8,84.1,1.9,12,62.6,15,3.8,1.3,0,0.4,3.6,0,39.1,21.5,15.5,3,34.3,1.9,1.3
2018,111800,20.4,3.4,100,22.6,74.5,2.9,26.8,45.6,9.4,2.7,0.7,0,1.3,9.4,0,36.1,23,15.4,5.2,37.199999999999996,2.9,4
2018,111900,18.8,5.1,100,7.3,89.9,2.3,22.9,57.2,12.7,2.4,1.8,0.6,0.6,1.8,0,36.1,21.1,18.799999999999997,5.1,37.9,2.3,0.6
2018,112000,NA,NA,100,0,100,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018,112100,12.5,6.9,100,10.9,87.1,2.2,18.6,59.2,14.7,2.4,3.3,0,0.3,0.6,0,43.4,21,18.700000000000003,3.9,37.6,2.2,0.3
2018,112200,30.5,5.1,100,26,69.4,4.6,7.6,65.3,12.9,3.5,4.1,0,0,5.3,0,38.6,20.3,10.2,1.2,28.2,4.6,0.6
2018,112300,17,4.7,100,16.5,80.1,3.3,15.1,61.3,18.3,2.5,1.4,0,0,1.1,0,40.8,22.6,16.2,3.4000000000000004,36.4,3.3,1.1
2018,112400,21.5,4,100,23.4,73.7,3.0,7.5,60.1,17.9,5.2,2.4,0,0,5.6,0,40.5,21.7,13.4,3,32.9,3,1.3
2018,112500,13,5.1,100,10,86.7,3.1,16.2,56.1,19.5,2.3,4.6,0,0,1,0,41.4,21.700000000000003,18.7,4.6,39.4,3.1,1
2018,112600,13.2,4.4,100,12,85.2,2.6,19.5,55.4,17.7,2.7,1.8,0,0.3,1.2,0.3,41.800000000000004,21.7,19.200000000000003,4.2,39.1,2.6,0.9
2018,112700,15.9,11,100,6.4,92.4,1.2,13.2,57.7,16,3.3,5.7,0,0.7,2.5,0,41.5,20.200000000000003,18.5,3.9,35.199999999999996,1.2,1
2018,112800,15.2,6.5,100,13.9,84,1.9,10.7,60.3,16.9,3.9,5.9,0,0,1.3,0,42.2,22.2,16.4,3.7,36.800000000000004,1.9,1
